Day,DHI,DNI,WS,RH,T,TARGET,target1,target2
1,0,0,2.2,71.26,-8,0.0,0.0,0.0
1,0,0,2.2,74.5,-8,0.0,0.0,0.0
1,0,0,2.2,74.5,-8,0.0,0.0,0.0
1,0,0,2.2,72.83,-8,0.0,0.0,0.0
1,0,0,2.2,72.82,-8,0.0,0.0,0.0
1,0,0,2.2,72.51,-8,0.0,0.0,0.0
1,0,0,2.2,72.49,-8,0.0,0.0,0.0
2,0,0,2.2,73.8,-8,0.0,0.0,0.0
2,0,0,2.1,68.2,-8,0.0,0.0,0.0
2,0,0,2.1,69.06,-8,0.0,0.0,0.0
2,0,0,2.1,69.04,-8,0.0,0.0,0.0
2,0,0,2.2,69.38,-8,0.0,0.0,0.0
2,0,0,2.2,69.36,-7,0.0,0.0,0.0
2,0,0,2.2,70.03,-7,0.0,0.0,0.0
2,0,0,2.2,70.02,-7,0.0,0.0,0.0
2,0,0,2.3,72.18,-7,0.0,0.0,0.0
2,0,0,2.4,66.78,-7,0.0,0.0,0.0
2,0,0,2.5,68.32,-7,0.0,0.0,0.0
2,0,0,2.5,68.32,-7,0.0,0.0,0.0
2,0,0,2.6,69.68,-7,0.0,0.0,0.0
2,0,0,2.6,69.69,-6,0.0,0.0,0.0
2,0,0,2.6,74.08,-6,0.0,0.0,0.0
2,0,0,2.4,63.54,-4,0.0,0.0,0.0
2,8,0,2.2,72.05,-3,0.750807773,0.750807773,0.750807773
2,18,0,2.0,66.85,-2,1.689298925,1.689298925,1.689298925
2,55,0,1.8,72.81,-1,5.161689988,5.161689988,5.161689988
2,53,0,2.0,67.63,-1,4.97399217,4.97399217,4.97399217
2,153,65,2.2,72.03,-1,16.51740796,16.51740796,16.51740796
2,104,0,2.6,72.02,0,9.76017926,9.76017926,9.76017926
2,81,0,3.1,75.29,0,7.601678078,7.601678078,7.601678078
2,117,0,3.5,75.28,0,10.98020167,10.98020167,10.98020167
2,176,20,3.9,75.99,0,17.36185734,17.36185734,17.36185734
2,52,0,4.3,76.01,0,4.88008963,4.88008963,4.88008963
2,141,3,4.7,79.12,-1,13.32654506,13.32654506,13.32654506
2,101,0,5.0,79.17,-1,9.478739796000001,9.478739796000001,9.478739796000001
2,48,0,5.3,78.49,-2,4.504797132,4.504797132,4.504797132
2,28,0,5.1,84.71,-3,2.627827206,2.627827206,2.627827206
2,110,157,5.1,80.48,-4,14.26550446,14.26550446,14.26550446
2,71,535,4.4,86.96,-5,16.61198708,16.61198708,16.61198708
2,47,403,3.7,79.93,-7,9.010089323999999,9.010089323999999,9.010089323999999
2,26,0,3.1,86.46,-8,2.440259341,2.440259341,2.440259341
2,0,0,2.6,80.46,-9,0.0,0.0,0.0
2,0,0,2.3,87.15,-9,0.0,0.0,0.0
2,0,0,2.0,85.23,-10,0.0,0.0,0.0
2,0,0,1.7,85.26,-10,0.0,0.0,0.0
2,0,0,1.5,85.29,-11,0.0,0.0,0.0
2,0,0,1.2,85.3,-11,0.0,0.0,0.0
2,0,0,0.9,86.81,-12,0.0,0.0,0.0
2,0,0,0.7,86.81,-12,0.0,0.0,0.0
2,0,0,0.5,82.9,-12,0.0,0.0,0.0
2,0,0,0.4,82.89,-12,0.0,0.0,0.0
2,0,0,0.4,79.09,-13,0.0,0.0,0.0
2,0,0,0.7,79.08,-13,0.0,0.0,0.0
2,0,0,1.1,81.09,-13,0.0,0.0,0.0
2,0,0,1.4,81.08,-13,0.0,0.0,0.0
3,0,0,1.8,77.76,-14,0.0,0.0,0.0
3,0,0,2.0,77.77,-13,0.0,0.0,0.0
3,0,0,2.2,77.69,-13,0.0,0.0,0.0
3,0,0,2.2,71.57,-13,0.0,0.0,0.0
3,0,0,2.2,72.62,-13,0.0,0.0,0.0
3,0,0,2.2,72.61,-12,0.0,0.0,0.0
3,0,0,2.2,73.02,-12,0.0,0.0,0.0
3,0,0,2.2,73.01,-12,0.0,0.0,0.0
3,0,0,2.3,72.77,-12,0.0,0.0,0.0
3,0,0,2.2,72.77,-12,0.0,0.0,0.0
3,0,0,2.2,72.63,-12,0.0,0.0,0.0
3,0,0,2.0,66.98,-11,0.0,0.0,0.0
3,0,0,1.9,67.97,-11,0.0,0.0,0.0
3,0,0,1.8,67.99,-11,0.0,0.0,0.0
3,0,0,1.8,69.47,-11,0.0,0.0,0.0
3,0,0,2.1,59.16,-9,0.0,0.0,0.0
3,34,112,2.4,65.0,-8,4.129669654,4.129669654,4.129669654
3,65,160,2.6,55.59,-6,8.728428115,8.728428115,8.728428115
3,88,320,2.9,58.76,-5,15.57960371,15.57960371,15.57960371
3,129,183,2.7,54.46,-3,17.45628072,17.45628072,17.45628072
3,150,279,2.6,58.11,-2,23.556335,23.556335,23.556335
3,159,29,2.8,50.07,-1,16.04816342,16.04816342,16.04816342
3,190,298,3.0,52.79,0,29.93747292,29.93747292,29.93747292
3,211,210,3.2,49.08,0,28.81129839,28.81129839,28.81129839
3,114,0,3.5,54.63,0,10.69865804,10.69865804,10.69865804
3,152,6,3.5,54.64,0,14.54642101,14.54642101,14.54642101
3,189,48,3.6,57.39,1,19.70783769,19.70783769,19.70783769
3,83,0,3.4,57.4,0,7.789373832999999,7.789373832999999,7.789373832999999
3,61,911,3.2,59.01,0,38.00839039,38.00839039,38.00839039
3,105,492,2.8,59.03,0,24.96353542,24.96353542,24.96353542
3,111,167,2.5,65.15,0,14.64026889,14.64026889,14.64026889
3,27,0,2.3,70.12,0,2.5338926930000003,2.5338926930000003,2.5338926930000003
3,15,0,2.2,65.74,-1,1.407733633,1.407733633,1.407733633
3,4,0,2.2,65.75,-1,0.375395636,0.375395636,0.375395636
3,0,0,2.2,64.36,-2,0.0,0.0,0.0
3,0,0,2.0,64.38,-2,0.0,0.0,0.0
3,0,0,1.9,66.96,-3,0.0,0.0,0.0
3,0,0,1.7,66.99,-3,0.0,0.0,0.0
3,0,0,1.5,65.33,-4,0.0,0.0,0.0
3,0,0,1.4,65.34,-4,0.0,0.0,0.0
3,0,0,1.3,69.09,-4,0.0,0.0,0.0
3,0,0,1.4,69.07,-4,0.0,0.0,0.0
3,0,0,1.5,67.65,-5,0.0,0.0,0.0
3,0,0,1.7,67.61,-5,0.0,0.0,0.0
3,0,0,1.9,71.88,-5,0.0,0.0,0.0
3,0,0,2.0,71.85,-5,0.0,0.0,0.0
3,0,0,2.1,72.17,-5,0.0,0.0,0.0
3,0,0,2.1,72.18,-5,0.0,0.0,0.0
4,0,0,2.1,72.1,-5,0.0,0.0,0.0
4,0,0,2.0,72.1,-5,0.0,0.0,0.0
4,0,0,2.0,72.14,-5,0.0,0.0,0.0
4,0,0,2.0,72.11,-5,0.0,0.0,0.0
4,0,0,2.0,72.94,-5,0.0,0.0,0.0
4,0,0,2.0,72.92,-5,0.0,0.0,0.0
4,0,0,2.0,74.04,-5,0.0,0.0,0.0
4,0,0,2.0,68.57,-5,0.0,0.0,0.0
4,0,0,2.0,70.64,-5,0.0,0.0,0.0
4,0,0,2.1,70.63,-4,0.0,0.0,0.0
4,0,0,2.3,73.87,-4,0.0,0.0,0.0
4,0,0,2.5,68.44,-3,0.0,0.0,0.0
4,0,0,2.8,72.33,-3,0.0,0.0,0.0
4,0,0,3.2,67.06,-2,0.0,0.0,0.0
4,0,0,3.6,72.48,-2,0.0,0.0,0.0
4,0,0,3.8,67.26,-1,0.0,0.0,0.0
4,33,166,4.1,71.83,0,4.50469812,4.50469812,4.50469812
4,63,220,4.5,66.72,1,9.478531459,9.478531459,9.478531459
4,44,0,4.9,73.36,2,4.129215849,4.129215849,4.129215849
4,83,0,5.7,68.23,3,7.78911702,7.78911702,7.78911702
4,97,0,6.6,65.55,4,9.102843944,9.102843944,9.102843944
4,129,0,7.0,65.53,4,12.10584401,12.10584401,12.10584401
4,202,149,7.4,64.54,5,25.05600641,25.05600641,25.05600641
4,173,20,7.7,64.51,5,17.07937515,17.07937515,17.07937515
4,218,123,8.0,67.17,6,25.80646454,25.80646454,25.80646454
4,198,48,7.8,67.18,6,20.64517164,20.64517164,20.64517164
4,179,31,7.7,69.26,6,18.11144603,18.11144603,18.11144603
4,191,183,7.5,69.29,5,25.14984913,25.14984913,25.14984913
4,153,36,7.3,69.79,5,15.67173434,15.67173434,15.67173434
4,142,100,7.1,74.91,5,16.42247611,16.42247611,16.42247611
4,96,4,6.9,74.5,5,9.196586621,9.196586621,9.196586621
4,68,0,6.4,80.02,4,6.381375136,6.381375136,6.381375136
4,38,0,6.0,78.19,4,3.566062576,3.566062576,3.566062576
4,11,0,5.4,78.22,3,1.032292617,1.032292617,1.032292617
4,0,0,4.9,76.52,3,0.0,0.0,0.0
4,0,0,4.6,82.24,3,0.0,0.0,0.0
4,0,0,4.3,80.88,3,0.0,0.0,0.0
4,0,0,3.7,80.93,3,0.0,0.0,0.0
4,0,0,3.2,74.19,3,0.0,0.0,0.0
4,0,0,2.6,79.75,3,0.0,0.0,0.0
4,0,0,2.1,78.5,3,0.0,0.0,0.0
4,0,0,1.8,78.55,2,0.0,0.0,0.0
4,0,0,1.5,76.9,2,0.0,0.0,0.0
4,0,0,1.4,82.7,2,0.0,0.0,0.0
4,0,0,1.3,81.7,2,0.0,0.0,0.0
4,0,0,1.3,81.73,1,0.0,0.0,0.0
4,0,0,1.3,79.15,1,0.0,0.0,0.0
4,0,0,1.4,79.16,1,0.0,0.0,0.0
5,0,0,1.5,77.41,1,0.0,0.0,0.0
5,0,0,1.7,77.42,1,0.0,0.0,0.0
5,0,0,1.9,76.77,1,0.0,0.0,0.0
5,0,0,2.0,76.77,1,0.0,0.0,0.0
5,0,0,2.2,76.39,1,0.0,0.0,0.0
5,0,0,2.2,76.37,0,0.0,0.0,0.0
5,0,0,2.3,76.21,0,0.0,0.0,0.0
5,0,0,2.4,76.2,0,0.0,0.0,0.0
5,0,0,2.5,81.63,0,0.0,0.0,0.0
5,0,0,2.6,81.64,0,0.0,0.0,0.0
5,0,0,2.7,81.49,0,0.0,0.0,0.0
5,0,0,2.6,81.51,0,0.0,0.0,0.0
5,0,0,2.6,81.8,0,0.0,0.0,0.0
5,0,0,2.6,81.8,0,0.0,0.0,0.0
5,0,0,2.6,82.95,0,0.0,0.0,0.0
5,0,0,2.8,77.14,1,0.0,0.0,0.0
5,31,266,3.0,79.24,2,5.255365626000001,5.255365626000001,5.255365626000001
5,55,366,3.1,73.76,3,11.07368444,11.07368444,11.07368444
5,98,190,3.2,76.11,5,13.51335177,13.51335177,13.51335177
5,113,363,3.3,70.93,6,21.11438008,21.11438008,21.11438008
5,131,422,3.4,70.36,7,26.65074684,26.65074684,26.65074684
5,157,398,3.3,65.62,8,29.84100123,29.84100123,29.84100123
5,102,700,3.3,63.78,9,38.37998541,38.37998541,38.37998541
5,105,722,3.3,63.76,9,40.91362747,40.91362747,40.91362747
5,102,744,3.4,60.36,9,42.22736781,42.22736781,42.22736781
5,101,742,3.3,60.34,9,41.85201343,41.85201343,41.85201343
5,113,673,3.2,61.57,9,38.94301698,38.94301698,38.94301698
5,127,576,2.9,65.92,8,34.62682218,34.62682218,34.62682218
5,131,479,2.6,69.22,8,29.55948235,29.55948235,29.55948235
5,121,395,2.3,79.48,7,23.74168644,23.74168644,23.74168644
5,101,325,2.0,80.75,6,17.82992096,17.82992096,17.82992096
5,77,235,1.9,93.04,4,11.730469,11.730469,11.730469
5,48,177,1.9,89.3,3,6.66297962,6.66297962,6.66297962
5,22,0,2.0,96.02,2,2.064607925,2.064607925,2.064607925
5,0,0,2.1,90.05,1,0.0,0.0,0.0
5,0,0,2.3,90.08,1,0.0,0.0,0.0
5,0,0,2.5,87.11,1,0.0,0.0,0.0
5,0,0,2.7,87.12,1,0.0,0.0,0.0
5,0,0,3.0,84.3,1,0.0,0.0,0.0
5,0,0,3.0,84.31,1,0.0,0.0,0.0
5,0,0,3.0,81.26,1,0.0,0.0,0.0
5,0,0,2.8,81.26,0,0.0,0.0,0.0
5,0,0,2.7,78.27,0,0.0,0.0,0.0
5,0,0,2.3,78.28,0,0.0,0.0,0.0
5,0,0,2.0,82.04,0,0.0,0.0,0.0
5,0,0,1.5,88.34,0,0.0,0.0,0.0
5,0,0,1.1,92.08,-1,0.0,0.0,0.0
5,0,0,1.5,92.11,-1,0.0,0.0,0.0
6,0,0,1.9,86.51,-2,0.0,0.0,0.0
6,0,0,1.8,86.54,-2,0.0,0.0,0.0
6,0,0,1.7,85.72,-3,0.0,0.0,0.0
6,0,0,1.4,85.73,-3,0.0,0.0,0.0
6,0,0,1.1,87.04,-4,0.0,0.0,0.0
6,0,0,1.0,87.04,-4,0.0,0.0,0.0
6,0,0,0.9,90.47,-4,0.0,0.0,0.0
6,0,0,0.9,90.47,-4,0.0,0.0,0.0
6,0,0,0.9,87.82,-4,0.0,0.0,0.0
6,0,0,0.9,87.84,-4,0.0,0.0,0.0
6,0,0,0.9,84.25,-5,0.0,0.0,0.0
6,0,0,1.0,84.29,-5,0.0,0.0,0.0
6,0,0,1.1,86.59,-5,0.0,0.0,0.0
6,0,0,1.2,86.63,-5,0.0,0.0,0.0
6,0,0,1.3,80.3,-6,0.0,0.0,0.0
6,0,0,1.4,80.34,-5,0.0,0.0,0.0
6,8,0,1.5,78.68,-5,0.750824275,0.750824275,0.750824275
6,17,0,1.5,72.89,-4,1.595484051,1.595484051,1.595484051
6,52,0,1.5,71.79,-3,4.880250525,4.880250525,4.880250525
6,40,0,1.3,66.56,-2,3.75399761,3.75399761,3.75399761
6,58,0,1.1,66.1,-1,5.443236715,5.443236715,5.443236715
6,90,0,1.0,61.34,0,8.446308975,8.446308975,8.446308975
6,131,0,1.0,61.84,0,12.29407195,12.29407195,12.29407195
6,172,18,0.9,57.45,1,16.8924323,16.8924323,16.8924323
6,201,48,0.9,61.08,2,20.92761669,20.92761669,20.92761669
6,218,129,0.9,61.03,2,26.0891365,26.0891365,26.0891365
6,208,110,0.9,59.5,3,24.11810933,24.11810933,24.11810933
6,194,148,0.9,59.47,3,24.11810933,24.11810933,24.11810933
6,156,338,0.9,57.81,3,26.83960805,26.83960805,26.83960805
6,59,872,0.9,62.08,2,33.03372679,33.03372679,33.03372679
6,52,823,1.0,66.16,2,26.18298232,26.18298232,26.18298232
6,44,744,1.0,71.09,1,18.67552238,18.67552238,18.67552238
6,33,619,1.0,71.55,0,10.79250591,10.79250591,10.79250591
6,37,0,1.2,76.97,-1,3.4724096280000003,3.4724096280000003,3.4724096280000003
6,0,0,1.5,83.65,-2,0.0,0.0,0.0
6,0,0,1.8,77.6,-2,0.0,0.0,0.0
6,0,0,2.2,77.56,-2,0.0,0.0,0.0
6,0,0,2.6,77.52,-1,0.0,0.0,0.0
6,0,0,3.0,76.69,-1,0.0,0.0,0.0
6,0,0,3.1,71.18,-1,0.0,0.0,0.0
6,0,0,3.2,67.68,-1,0.0,0.0,0.0
6,0,0,3.1,67.64,0,0.0,0.0,0.0
6,0,0,3.0,63.64,0,0.0,0.0,0.0
6,0,0,3.1,63.6,0,0.0,0.0,0.0
6,0,0,3.2,61.12,0,0.0,0.0,0.0
6,0,0,3.4,56.75,0,0.0,0.0,0.0
6,0,0,3.7,56.9,0,0.0,0.0,0.0
6,0,0,3.9,52.87,0,0.0,0.0,0.0
7,0,0,4.1,55.67,1,0.0,0.0,0.0
7,0,0,4.4,55.65,1,0.0,0.0,0.0
7,0,0,4.7,59.43,1,0.0,0.0,0.0
7,0,0,4.8,59.41,1,0.0,0.0,0.0
7,0,0,4.9,62.72,2,0.0,0.0,0.0
7,0,0,4.8,62.69,2,0.0,0.0,0.0
7,0,0,4.7,64.27,2,0.0,0.0,0.0
7,0,0,4.5,64.25,1,0.0,0.0,0.0
7,0,0,4.4,64.11,1,0.0,0.0,0.0
7,0,0,4.2,64.11,1,0.0,0.0,0.0
7,0,0,4.1,63.79,1,0.0,0.0,0.0
7,0,0,4.0,63.8,1,0.0,0.0,0.0
7,0,0,4.0,63.77,1,0.0,0.0,0.0
7,0,0,4.1,63.78,1,0.0,0.0,0.0
7,0,0,4.2,64.31,1,0.0,0.0,0.0
7,0,0,4.4,64.32,2,0.0,0.0,0.0
7,24,563,4.6,64.53,3,7.319893102999999,7.319893102999999,7.319893102999999
7,36,726,4.3,60.07,4,15.20268782,15.20268782,15.20268782
7,44,821,4.0,61.91,5,23.08530927,23.08530927,23.08530927
7,50,880,3.4,57.71,6,30.31086563,30.31086563,30.31086563
7,56,917,2.8,57.91,7,36.59785657,36.59785657,36.59785657
7,60,943,2.6,54.02,7,41.75909275,41.75909275,41.75909275
7,66,955,2.5,51.6,8,45.60605848,45.60605848,45.60605848
7,67,965,2.4,51.58,8,48.13972839,48.13972839,48.13972839
7,68,969,2.3,53.15,8,49.26580391,49.26580391,49.26580391
7,68,967,2.3,56.92,8,48.89044541,48.89044541,48.89044541
7,67,959,2.3,58.65,8,47.01365288,47.01365288,47.01365288
7,65,945,2.3,62.87,7,43.82358723,43.82358723,43.82358723
7,61,922,2.3,64.42,7,39.22539499,39.22539499,39.22539499
7,57,888,2.0,69.1,6,33.50148306,33.50148306,33.50148306
7,52,832,1.8,77.38,5,26.65133266,26.65133266,26.65133266
7,44,753,1.7,89.29,3,19.05049103,19.05049103,19.05049103
7,34,612,1.7,85.85,1,10.980081,10.980081,10.980081
7,19,378,1.7,92.39,0,3.660067223,3.660067223,3.660067223
7,0,0,1.7,92.17,-1,0.0,0.0,0.0
7,0,0,1.5,92.2,-1,0.0,0.0,0.0
7,0,0,1.3,97.2,-2,0.0,0.0,0.0
7,0,0,1.3,97.21,-2,0.0,0.0,0.0
7,0,0,1.3,100.0,-2,0.0,0.0,0.0
7,0,0,1.4,100.0,-2,0.0,0.0,0.0
7,0,0,1.6,100.0,-3,0.0,0.0,0.0
7,0,0,1.8,100.0,-3,0.0,0.0,0.0
7,0,0,2.0,98.06,-4,0.0,0.0,0.0
7,0,0,2.1,98.07,-4,0.0,0.0,0.0
7,0,0,2.3,94.25,-5,0.0,0.0,0.0
7,0,0,2.4,94.26,-5,0.0,0.0,0.0
7,0,0,2.6,91.72,-6,0.0,0.0,0.0
7,0,0,2.5,91.74,-6,0.0,0.0,0.0
8,0,0,2.5,84.72,-7,0.0,0.0,0.0
8,0,0,2.3,84.72,-7,0.0,0.0,0.0
8,0,0,2.2,87.32,-7,0.0,0.0,0.0
8,0,0,1.9,87.32,-7,0.0,0.0,0.0
8,0,0,1.7,84.66,-7,0.0,0.0,0.0
8,0,0,1.4,84.63,-7,0.0,0.0,0.0
8,0,0,1.2,83.5,-7,0.0,0.0,0.0
8,0,0,1.2,83.47,-7,0.0,0.0,0.0
8,0,0,1.3,83.38,-7,0.0,0.0,0.0
8,0,0,1.4,77.11,-7,0.0,0.0,0.0
8,0,0,1.6,78.38,-7,0.0,0.0,0.0
8,0,0,1.5,78.37,-7,0.0,0.0,0.0
8,0,0,1.4,78.88,-7,0.0,0.0,0.0
8,0,0,1.5,78.88,-6,0.0,0.0,0.0
8,0,0,1.6,79.35,-6,0.0,0.0,0.0
8,0,0,1.8,73.46,-5,0.0,0.0,0.0
8,29,488,2.0,74.67,-4,7.132752227999999,7.132752227999999,7.132752227999999
8,44,664,1.6,64.19,-2,15.01599044,15.01599044,15.01599044
8,86,0,1.2,64.85,0,8.070917465,8.070917465,8.070917465
8,123,35,0.8,60.24,0,12.57561559,12.57561559,12.57561559
8,159,88,0.5,61.21,1,17.92474761,17.92474761,17.92474761
8,182,84,0.9,61.18,2,20.27069599,20.27069599,20.27069599
8,205,167,1.3,59.62,3,26.27653935,26.27653935,26.27653935
8,213,246,1.4,59.58,3,30.68724416,30.68724416,30.68724416
8,224,164,1.5,57.61,3,28.34112458,28.34112458,28.34112458
8,221,198,1.5,57.59,3,29.46726198,29.46726198,29.46726198
8,205,269,1.5,59.47,4,30.78075066,30.78075066,30.78075066
8,79,912,1.4,59.47,4,44.10656344,44.10656344,44.10656344
8,75,886,1.3,61.04,4,39.41437584,39.41437584,39.41437584
8,69,848,1.2,65.56,3,33.59643245,33.59643245,33.59643245
8,60,799,1.1,74.06,2,26.7460572,26.7460572,26.7460572
8,50,717,0.9,74.05,1,19.14475661,19.14475661,19.14475661
8,37,593,0.8,73.74,0,11.16789742,11.16789742,11.16789742
8,20,358,1.0,79.35,-1,3.847805264,3.847805264,3.847805264
8,0,0,1.2,80.99,-2,0.0,0.0,0.0
8,0,0,1.3,80.97,-2,0.0,0.0,0.0
8,0,0,1.5,85.9,-2,0.0,0.0,0.0
8,0,0,1.8,85.87,-2,0.0,0.0,0.0
8,0,0,2.1,84.91,-2,0.0,0.0,0.0
8,0,0,2.4,84.89,-2,0.0,0.0,0.0
8,0,0,2.8,83.25,-2,0.0,0.0,0.0
8,0,0,3.0,83.23,-2,0.0,0.0,0.0
8,0,0,3.2,81.18,-2,0.0,0.0,0.0
8,0,0,3.3,81.15,-2,0.0,0.0,0.0
8,0,0,3.5,79.4,-2,0.0,0.0,0.0
8,0,0,3.5,79.37,-2,0.0,0.0,0.0
8,0,0,3.6,78.04,-2,0.0,0.0,0.0
8,0,0,3.7,78.03,-2,0.0,0.0,0.0
9,0,0,3.8,77.35,-2,0.0,0.0,0.0
9,0,0,3.8,71.78,-2,0.0,0.0,0.0
9,0,0,3.9,72.77,-2,0.0,0.0,0.0
9,0,0,3.8,67.56,-1,0.0,0.0,0.0
9,0,0,3.8,70.45,-1,0.0,0.0,0.0
9,0,0,3.6,70.43,0,0.0,0.0,0.0
9,0,0,3.5,74.45,0,0.0,0.0,0.0
9,0,0,3.4,69.17,0,0.0,0.0,0.0
9,0,0,3.3,72.06,0,0.0,0.0,0.0
9,0,0,3.2,72.06,0,0.0,0.0,0.0
9,0,0,3.2,73.64,0,0.0,0.0,0.0
9,0,0,3.2,73.64,0,0.0,0.0,0.0
9,0,0,3.2,74.25,0,0.0,0.0,0.0
9,0,0,3.1,74.26,0,0.0,0.0,0.0
9,0,0,3.0,74.36,0,0.0,0.0,0.0
9,0,0,3.0,69.16,1,0.0,0.0,0.0
9,36,171,3.1,72.41,2,4.879982367,4.879982367,4.879982367
9,61,279,3.2,67.39,3,10.32292617,10.32292617,10.32292617
